Parent MNE	WikiID		WikiTopic		MID		Weight
BP PLC	Q5050816	>>	Castrol_India	>>	/m/0g57s1y	>>	0,669430399
BT Group PLC	Q593786	>>	BT_Group	>>	/m/01g_3	>>	44,07890553
BT Group PLC	Q5322942	>>	EE_Limited	>>	/m/0bx_knz	>>	20,90905101
BT Group PLC	Q7205652	>>	Plusnet	>>	/m/05gmwk	>>	19,0342296
BT Group PLC	Q10859717	>>	Orange_UK	>>	/m/0c_44_	>>	8,336550597
BT Group PLC	Q7096543	>>	Openreach	>>	/m/0gpfcp	>>	5,750049491
BT Group PLC	Q17050266	>>	BT_Mobile	>>	/m/027b5rs	>>	1,891213779
Baidu Inc	Q14772	>>	Baidu	>>	/m/05mk8_	>>	81,82775229
Baidu Inc	Q15913890	>>	IQiyi	>>	/m/0127yb8b	>>	15,78422504
Baidu Inc	Q2879361	>>	Baidu_Maps	>>	/g/1221531h	>>	2,388022671
Banco Bilbao Vizcaya Argentaria SA	Q806189	>>	Banco_Bilbao_Vizcaya_Argentaria	>>	/m/04ry8n	>>	80,0711222
Banco Bilbao Vizcaya Argentaria SA	Q4835088	>>	BBVA_USA	>>	/m/06w1tj	>>	12,87041997
Banco Bilbao Vizcaya Argentaria SA	Q4835087	>>	BBVA_Provincial	>>	/m/02z4dxy	>>	7,058457833
Banco Bradesco SA	Q806181	>>	Banco_Bradesco	>>	/m/03p1l17	>>	92,8090989
Banco Bradesco SA	Q4954511	>>	Bradesco_Seguros	>>	/m/0h54h5z	>>	7,190901102
Banco Santander SA	Q806215	>>	Banco_Santander	>>	/m/07swyp	>>	45,09604067
Banco Santander SA	Q5835668	>>	Santander_Bank	>>	/m/0dsxwb	>>	16,31128253
Banco Santander SA	Q806653	>>	Santander_Bank_Polska	>>	/m/0dk4bb	>>	9,557526394
Banco Santander SA	Q7420065	>>	Santander_UK	>>	/m/09gc6jm	>>	8,658888524
Banco Santander SA	Q2882087	>>	Santander_Brasil	>>	/m/07k4bzz	>>	6,358214746
Banco Santander SA	Q2820825	>>	Abbey_National	>>	/m/02t9p1	>>	6,023889293
Banco Santander SA	Q3284958	>>	Banco_Real	>>	/m/03zy3t	>>	3,354211083
Banco Santander SA	Q4854116	>>	Banco_Santander_Portugal	>>	/m/07t3m9	>>	2,084558406
Banco Santander SA	Q1094313	>>	Banco_Santander_Chile	>>	/m/0806yf1	>>	2,083553218
Banco Santander SA	Q1626995	>>	Universia	>>	/m/05p3zjj	>>	0,320051787
Banco Santander SA	Q1277898	>>	Santander_Consumer_Finance	>>	/g/120lw7yw	>>	0,151783354
Banco do Brasil SA	Q610817	>>	Banco_do_Brasil	>>	/m/036yt4	>>	89,29343979
Banco do Brasil SA	Q2882078	>>	Banco_Patagonia	>>	/m/09gj5mz	>>	8,675105685
Banco do Brasil SA	Q4854117	>>	Banco_Votorantim	>>	/m/0b6lkv7	>>	2,031454525
Bank Central Asia Tbk PT	Q806626	>>	Bank_Central_Asia	>>	/m/0d2q3j	>>	100
Bank Rakyat Indonesia (Persero) Tbk PT	Q623042	>>	Bank_Rakyat_Indonesia	>>	/m/0c4hlf	>>	100
Bank of America Corp	Q487907	>>	Bank_of_America	>>	/m/01yx7f	>>	91,06327151
Bank of America Corp	Q3719120	>>	BofA_Securities	>>	/m/0g9twxx	>>	7,513436034
Bank of America Corp	Q5453029	>>	First_Franklin_Financial_Corp.	>>	/m/0b73t3d	>>	0,736112174
Bank of America Corp	Q47504638	>>	Bank_of_America_Merchant_Services	>>	/g/11gfk07v90	>>	0,459003173
Bank of America Corp	Q5375988	>>	Endeavour_Foundation	>>	/m/04rldc	>>	0,228177114
Bank of China Ltd	Q790068	>>	Bank_of_China	>>	/m/01s77s	>>	70,55956432
Bank of China Ltd	Q787060	>>	Bank_of_China_(Hong_Kong)	>>	/m/04b7c6	>>	24,69721225
Bank of China Ltd	Q4836194	>>	BOC_International	>>	/m/05c23cd	>>	4,743223425
Bank of Communications Co Ltd	Q806680	>>	Bank_of_Communications	>>	/m/055r76	>>	100
Bank of Montreal	Q806693	>>	Bank_of_Montreal	>>	/m/01vhgl	>>	78,9494887
Bank of Montreal	Q4835978	>>	BMO_Capital_Markets	>>	/m/09v4dwx	>>	11,89028009
Bank of Montreal	Q6898958	>>	Moneris_Solutions	>>	/m/0glqyh	>>	5,532395501
Bank of Montreal	Q4835982	>>	BMO_Nesbitt_Burns	>>	/m/0gd0nf	>>	3,627835708
Bank of New York Mellon Corp	Q589288	>>	The_Bank_of_New_York_Mellon	>>	/m/02vps5x	>>	78,65287511
Bank of New York Mellon Corp	Q3305204	>>	Mellon_Financial	>>	/m/02tjlh	>>	8,832063643
Bank of New York Mellon Corp	Q7170167	>>	Pershing_LLC	>>	/m/04n59jb	>>	8,195034783
Bank of New York Mellon Corp	Q5307363	>>	Dreyfus_Corporation	>>	/m/07n75x	>>	4,320026461
Bank of Nova Scotia	Q451476	>>	Scotiabank	>>	/m/01zrhv	>>	82,6136131
Bank of Nova Scotia	Q15238797	>>	Tangerine_Bank	>>	/m/04nrlw	>>	17,3863869
Barclays PLC	Q145053	>>	Barclaycard	>>	/m/032vz4	>>	62,45443324
Barclays PLC	Q590271	>>	Barclays_Investment_Bank	>>	/m/060h4r	>>	37,54556676
Baxter International Inc	Q761965	>>	Baxter_International	>>	/m/07cmyd	>>	89,12486234
Baxter International Inc	Q467923	>>	Gambro	>>	/m/0256hz	>>	10,87513766
Bayer AG	Q152051	>>	Bayer	>>	/m/01snr1	>>	96,19292713
Bayer AG	Q1115580	>>	Currenta	>>	/g/122p7kwm	>>	1,204967524
Bayer AG	Q1686818	>>	Jenapharm	>>	/m/05b4l8n	>>	0,965378586
Bayer AG	Q3935683	>>	Bayer_HealthCare_Pharmaceuticals	>>	/m/02rnsly	>>	0,797527034
Bayer AG	Q2269201	>>	Seminis	>>	/m/05j5yz	>>	0,530659316
Bayer AG	Q6807279	>>	Medrad_Inc.	>>	/m/0ghkjf	>>	0,308540405
Bayerische Motoren Werke AG	Q173339	>>	BMW_M	>>	/m/04c5_1	>>	51,15844633
Bayerische Motoren Werke AG	Q249173	>>	BMW_Motorrad	>>	/m/0466q6s	>>	41,83460983
Bayerische Motoren Werke AG	Q4836047	>>	BMW_India	>>	/m/080lffn	>>	7,006943842
Becton Dickinson and Co	Q813780	>>	Becton_Dickinson	>>	/m/02v0s5	>>	82,75479439
Becton Dickinson and Co	Q5038833	>>	CareFusion	>>	/m/09l_p4q	>>	9,317579554
Becton Dickinson and Co	Q5006774	>>	C._R._Bard	>>	/m/02z3cxn	>>	7,927626056
Beiersdorf AG	Q337408	>>	Nivea	>>	/m/03vzwk	>>	50,60103895
Beiersdorf AG	Q201691	>>	Beiersdorf	>>	/m/04zs10	>>	24,54396357
Beiersdorf AG	Q564213	>>	Tchibo	>>	/m/08fb3z	>>	15,58187539
Beiersdorf AG	Q1805040	>>	Tesa	>>	/g/122s8m_p	>>	4,716277236
Beiersdorf AG	Q1799401	>>	Labello	>>	/m/0bts80	>>	4,099224659
Beiersdorf AG	Q1454029	>>	Tchibo_Mobil	>>	/g/1238m2td	>>	0,457620199
Berkshire Hathaway Inc	Q217583	>>	Berkshire_Hathaway	>>	/m/01tmng	>>	53,54072639
Berkshire Hathaway Inc	Q6984718	>>	Nebraska_Furniture_Mart	>>	/m/03p1xv	>>	11,76318982
Berkshire Hathaway Inc	Q267122	>>	BNSF_Railway	>>	/m/03qvv1	>>	5,955768005
Berkshire Hathaway Inc	Q1498689	>>	GEICO	>>	/m/02r95v	>>	5,229480684
Berkshire Hathaway Inc	Q3610112	>>	Lubrizol	>>	/m/07j4l_	>>	4,204297161
Berkshire Hathaway Inc	Q1504132	>>	NetJets	>>	/m/071_lf	>>	2,658926241
Berkshire Hathaway Inc	Q670764	>>	Brooks_Sports	>>	/m/04xx_y	>>	1,887754862
Berkshire Hathaway Inc	Q2555271	>>	Spalding_(company)	>>	/m/09lyd5	>>	1,633826834
Berkshire Hathaway Inc	Q2413332	>>	Pampered_Chef	>>	/m/03lz53	>>	1,010682002
Berkshire Hathaway Inc	Q636192	>>	Business_Wire	>>	/m/05l0qw	>>	0,994683224
Berkshire Hathaway Inc	Q7102378	>>	Oriental_Trading_Company	>>	/m/03d64_r	>>	0,928719808
Berkshire Hathaway Inc	Q6772151	>>	Marmon_Group	>>	/m/05c5_zw	>>	0,879259864
Berkshire Hathaway Inc	Q5130257	>>	Clayton_Homes	>>	/m/03clqhp	>>	0,826031543
Berkshire Hathaway Inc	Q1453920	>>	Mouser_Electronics	>>	/m/027cg3g	>>	0,78674958
Berkshire Hathaway Inc	Q16840677	>>	Berkshire_Hathaway_Energy	>>	/m/0d6j3c	>>	0,750664008
Berkshire Hathaway Inc	Q573957	>>	Gen_Re	>>	/m/03lz41	>>	0,743043139
Berkshire Hathaway Inc	Q6802046	>>	McLane_Company	>>	/m/02rqff1	>>	0,690403627
Berkshire Hathaway Inc	Q2045479	>>	PacifiCorp	>>	/m/0d6j0y	>>	0,640624043
Berkshire Hathaway Inc	Q4674391	>>	Acme_Brick	>>	/m/0gvbh2	>>	0,573516656
Berkshire Hathaway Inc	Q5973793	>>	ISCAR_Metalworking	>>	/m/0f3r31	>>	0,462366366
Berkshire Hathaway Inc	Q1390786	>>	The_Buffalo_News	>>	/m/046k5f	>>	0,447006866
Berkshire Hathaway Inc	Q11278074	>>	Tungaloy_Corporation	>>	/g/121v2dqr	>>	0,404276165
Berkshire Hathaway Inc	Q1961658	>>	NV_Energy	>>	/m/0756mk	>>	0,403048078
Berkshire Hathaway Inc	Q7058871	>>	Northern_Powergrid	>>	/m/0h3z6b	>>	0,39564591
Berkshire Hathaway Inc	Q6840876	>>	MidAmerican_Energy_Company	>>	/m/0d6j63	>>	0,36919998
Berkshire Hathaway Inc	Q5887960	>>	HomeServices_of_America	>>	/m/03gxlrl	>>	0,331314336
Berkshire Hathaway Inc	Q1493282	>>	Special_Metals_Corporation	>>	/m/025y929	>>	0,254382252
Berkshire Hathaway Inc	Q16984164	>>	Berkshire_Hathaway_GUARD_Insurance_Companies	>>	/m/07kc87_	>>	0,235843184
Berkshire Hathaway Inc	Q20708050	>>	Ben_Bridge_Jeweler	>>	/g/11b7chbk2d	>>	0,235590838
Berkshire Hathaway Inc	Q7247471	>>	Procor	>>	/m/056j0g	>>	0,229282171
Berkshire Hathaway Inc	Q16985644	>>	Titanium_Metals_Corporation	>>	/m/078jtz	>>	0,226708235
Berkshire Hathaway Inc	Q4931480	>>	BoatUS	>>	/m/04n2_y9	>>	0,138942069
Berkshire Hathaway Inc	Q4735945	>>	AltaLink	>>	/m/09v38d9	>>	0,121311449
Berkshire Hathaway Inc	Q6806406	>>	MedPro_Group	>>	/m/02qgngz	>>	0,046734601
Biogen Inc	Q864338	>>	Biogen	>>	/m/021jg2	>>	100
Blackstone Group LP	Q880942	>>	The_Blackstone_Group	>>	/m/03lpk9	>>	96,00503916
Blackstone Group LP	Q5514600	>>	GSO_Capital_Partners	>>	/m/0cmdm38	>>	3,994960843
Boeing Co	Q8793	>>	Boeing_Commercial_Airplanes	>>	/m/03krzb	>>	88,50966359
Boeing Co	Q570930	>>	Jeppesen	>>	/m/08k1xd	>>	9,567914435
Boeing Co	Q6038180	>>	Insitu	>>	/m/047vm_4	>>	1,922421973
Booking Holdings Inc	Q4035313	>>	Booking.com	>>	/m/0yxzc1z	>>	50,91823311
Booking Holdings Inc	Q18674747	>>	Booking_Holdings	>>	/m/012hshbh	>>	18,07997481
Booking Holdings Inc	Q395182	>>	Agoda	>>	/g/12nvpqwlt	>>	12,47917852
Booking Holdings Inc	Q7242653	>>	Priceline.com	>>	/m/04m435	>>	6,778042934
Booking Holdings Inc	Q43320	>>	OpenTable	>>	/m/02qjwjg	>>	4,267258065
Booking Holdings Inc	Q6897432	>>	Momondo	>>	/m/05c2mm6	>>	3,745429448
Booking Holdings Inc	Q6380402	>>	Kayak_(company)	>>	/m/02kwzwt	>>	2,457616818
Booking Holdings Inc	Q1068670	>>	Cheapflights	>>	/m/0c41h1	>>	1,274266289
Boston Scientific Corp	Q894585	>>	Boston_Scientific	>>	/m/04s6h0	>>	100
Bridgestone Corp	Q179433	>>	Bridgestone	>>	/m/01sqx5	>>	69,79969773
Bridgestone Corp	Q420837	>>	Firestone_Tire_and_Rubber_Company	>>	/m/0328q3	>>	29,16049401
Bridgestone Corp	Q4966688	>>	Bridgestone_Golf	>>	/m/02q_1xf	>>	1,039808254
Bristol-Myers Squibb Co	Q266423	>>	Bristol-Myers_Squibb	>>	/m/02hh10	>>	100
British American Tobacco PLC	Q1759032	>>	R._J._Reynolds_Tobacco_Company	>>	/m/01207m	>>	50,89085625
British American Tobacco PLC	Q947718	>>	Reynolds_American	>>	/m/07q_12	>>	20,7850985
British American Tobacco PLC	Q3492450	>>	Souza_Cruz	>>	/m/09v9dw3	>>	15,65606682
British American Tobacco PLC	Q4890522	>>	Bentoel_Group	>>	/m/0gk_wns	>>	12,66797843
Broadcom Inc	Q600624	>>	CA_Technologies	>>	/m/026n9q	>>	52,76651766
Broadcom Inc	Q2424396	>>	Brocade_Communications_Systems	>>	/m/06xfr4	>>	25,27224563
Broadcom Inc	Q1587129	>>	LSI_Corporation	>>	/m/06p917	>>	18,32524207
Broadcom Inc	Q5374879	>>	Emulex	>>	/m/0831sm	>>	3,635994638
Brookfield Asset Management Inc	Q1133735	>>	Westinghouse_Electric_Company	>>	/m/01jksw	>>	36,40132359
Brookfield Asset Management Inc	Q908324	>>	Brookfield_Asset_Management	>>	/m/03fl2d	>>	36,1772604
Brookfield Asset Management Inc	Q24110304	>>	Brookfield_Property_Partners	>>	/g/11cmttxysf	>>	9,605751012
Brookfield Asset Management Inc	Q4974585	>>	Multiplex_(company)	>>	/m/0dqbvf	>>	6,144954404
Brookfield Asset Management Inc	Q13529408	>>	Brookfield_Infrastructure_Partners	>>	/m/0cm9vnq	>>	5,257050749
Brookfield Asset Management Inc	Q4974587	>>	Brookfield_Renewable_Partners	>>	/m/0fqs16j	>>	4,677383078
Brookfield Asset Management Inc	Q4974589	>>	Brookfield_Residential	>>	/m/0j7kjcg	>>	1,736276768
CITIC Ltd	Q38960	>>	China_CITIC_Bank	>>	/m/0263h_q	>>	48,65999161
CITIC Ltd	Q1023763	>>	CITIC_Limited	>>	/m/09q27v	>>	28,21839112
CITIC Ltd	Q5208704	>>	Dah_Chong_Hong	>>	/m/05mvkyn	>>	23,12161728
CITIC Securities Co Ltd	Q2931701	>>	CLSA	>>	/m/02vlx45	>>	66,78583361
CITIC Securities Co Ltd	Q737443	>>	CITIC_Securities	>>	/m/0466q8n	>>	33,21416639
CK Asset Holdings Ltd	Q5654861	>>	Harbour_Plaza_Hotel_Management	>>	/m/0462sw3	>>	100
CK Hutchison Holdings Ltd	Q407009	>>	3_(telecommunications)	>>	/m/02kdls	>>	18,00350033
CK Hutchison Holdings Ltd	Q19548352	>>	CK_Hutchison_Holdings	>>	/g/11b7ccxv4l	>>	17,79076279
CK Hutchison Holdings Ltd	Q7974785	>>	Watsons	>>	/m/05zrld6	>>	14,09487751
CK Hutchison Holdings Ltd	Q4647401	>>	A.S._Watson_Group	>>	/m/0gywhxr	>>	10,94864231
CK Hutchison Holdings Ltd	Q7138619	>>	ParknShop	>>	/m/04vsm6	>>	6,454054079
CK Hutchison Holdings Ltd	Q28119223	>>	Wind_Tre	>>	/g/11c607z3zj	>>	6,434842099
CK Hutchison Holdings Ltd	Q1024724	>>	Marghera	>>	/m/03c1brr	>>	6,296297164
CK Hutchison Holdings Ltd	Q7643261	>>	Superdrug	>>	/m/07hqt1	>>	4,418911774
CK Hutchison Holdings Ltd	Q1129073	>>	Marionnaud	>>	/g/122ygz32	>>	3,291027927
CK Hutchison Holdings Ltd	Q5094252	>>	CK_Infrastructure_Holdings	>>	/m/03wcj17	>>	2,048575072
CK Hutchison Holdings Ltd	Q7687667	>>	Taste_(supermarket)	>>	/m/0bzxhb	>>	2,041077714
CK Hutchison Holdings Ltd	Q5335562	>>	Hutch_(Sri_Lanka)	>>	/m/0cc73b_	>>	2,033580356
CK Hutchison Holdings Ltd	Q28956333	>>	Hutchison_Drei_Austria	>>	/g/11bc60v9fp	>>	1,919636128
CK Hutchison Holdings Ltd	Q5950764	>>	Hutchison_Telecommunications_Hong_Kong_Holdings	>>	/m/05zrhdy	>>	1,846693079
CK Hutchison Holdings Ltd	Q7756719	>>	The_Perfume_Shop	>>	/m/0gwzbhx	>>	1,439883291
CK Hutchison Holdings Ltd	Q48800487	>>	Infostrada	>>	/g/11c2y2_n4s	>>	0,937638379
CLP Holdings Ltd	Q5376876	>>	EnergyAustralia	>>	/m/088b49	>>	100
CME Group Inc	Q1023876	>>	CME_Group	>>	/m/03m3r_f	>>	32,08556482
CME Group Inc	Q1071967	>>	Chicago_Mercantile_Exchange	>>	/m/01zc0z	>>	29,48896372
CME Group Inc	Q1071867	>>	Chicago_Board_of_Trade	>>	/m/027fjd	>>	21,40508054
CME Group Inc	Q120233	>>	New_York_Mercantile_Exchange	>>	/m/02db07	>>	17,02039092
CNOOC Ltd	Q795221	>>	CNOOC_Limited	>>	/m/04jrq9t	>>	66,6270357
CNOOC Ltd	Q1131840	>>	CNOOC_Petroleum_North_America_ULC	>>	/m/074mqs	>>	33,3729643
CRRC Corp Ltd	Q19840026	>>	CRRC	>>	/m/012krjvj	>>	100
CSL Ltd	Q908265	>>	CSL_Limited	>>	/m/0456g8	>>	52,98119248
CSL Ltd	Q692524	>>	CSL_Behring	>>	/m/02w8_zr	>>	47,01880752
CSX Corp	Q856783	>>	CSX_Transportation	>>	/m/01q729	>>	71,59925695
CSX Corp	Q1024454	>>	CSX_Corporation	>>	/m/04gp2y	>>	28,40074305
CVS Health Corp	Q624375	>>	CVS_Health	>>	/m/02q9wld	>>	36,76615995
CVS Health Corp	Q26049	>>	Aetna	>>	/m/0kg8x	>>	33,42497813
CVS Health Corp	Q5039014	>>	CVS_Caremark	>>	/m/0b5_db	>>	13,11326727
CVS Health Corp	Q16931196	>>	Longs_Drugs	>>	/m/087rmw	>>	5,241358951
CVS Health Corp	Q6871141	>>	MinuteClinic	>>	/m/0cc6m_9	>>	5,085041151
CVS Health Corp	Q7090375	>>	Omnicare	>>	/m/0cp9cx	>>	3,03939422
CVS Health Corp	Q1138073	>>	Coventry_Health_Care	>>	/m/058r98	>>	1,849671715
CVS Health Corp	Q10268809	>>	Drogaria_Onofre	>>	/g/120k5wys	>>	1,480128611
Canadian Imperial Bank of Commerce	Q666694	>>	Canadian_Imperial_Bank_of_Commerce	>>	/m/01tfgx	>>	80,0346931
Canadian Imperial Bank of Commerce	Q5011573	>>	CIBC_World_Markets	>>	/m/04fhgm	>>	8,909335635
Canadian Imperial Bank of Commerce	Q4038776	>>	CIBC_FirstCaribbean_International_Bank	>>	/m/086__y	>>	7,684030946
Canadian Imperial Bank of Commerce	Q5011569	>>	CIBC_Wood_Gundy	>>	/m/039902	>>	3,371940318
Canadian Natural Resources Ltd	Q1032229	>>	Canadian_Natural_Resources	>>	/m/025tb0v	>>	100
Canon Inc	Q62621	>>	Canon_Inc.	>>	/m/01bvx1	>>	93,14258842
Canon Inc	Q6149487	>>	Canon_Medical_Systems_Corporation	>>	/m/04nb4c6	>>	3,670595798
Canon Inc	Q17190699	>>	Canon_IT_Solutions	>>	/g/122hpmmj	>>	2,281761681
Canon Inc	Q743411	>>	Oc%C3%A9	>>	/m/0gdrm3	>>	0,905054106
Capital One Financial Corp	Q1034654	>>	Capital_One	>>	/m/04c_q_	>>	98,2409778
Capital One Financial Corp	Q28130206	>>	Paribus	>>	/g/11c58sjj6n	>>	1,7590222
Carnival Corp	Q656554	>>	Carnival_Cruise_Line	>>	/m/01vbj5	>>	25,38408497
Carnival Corp	Q1136349	>>	Costa_Cruises	>>	/m/0c8m0s	>>	18,59607991
Carnival Corp	Q730587	>>	Cunard_Line	>>	/m/0nlb2	>>	16,104974
Carnival Corp	Q293469	>>	AIDA_Cruises	>>	/m/03m6d32	>>	15,72505631
Carnival Corp	Q745700	>>	Princess_Cruises	>>	/m/06cd05	>>	12,17305907
Carnival Corp	Q1624735	>>	Holland_America_Line	>>	/m/01vbg8	>>	8,551999043
Carnival Corp	Q282903	>>	Seabourn_Cruise_Line	>>	/m/0cwpns	>>	3,464746697
Caterpillar Inc	Q459965	>>	Caterpillar_Inc.	>>	/m/0319hp	>>	75,02475915
Caterpillar Inc	Q568501	>>	Electro-Motive_Diesel	>>	/m/069sgp	>>	11,75148785
Caterpillar Inc	Q2071252	>>	Perkins_Engines	>>	/m/04w73l	>>	9,712951698
Caterpillar Inc	Q7556054	>>	Solar_Turbines	>>	/m/0bb_1cq	>>	2,04524381
Caterpillar Inc	Q7248577	>>	Progress_Rail_Services	>>	/m/06w3k5m	>>	1,465557492
Celgene Corp	Q842947	>>	Celgene	>>	/m/0898kv	>>	86,80491989
Celgene Corp	Q22121867	>>	Juno_Therapeutics	>>	/g/11b7xjdt05	>>	13,19508011
Celltrion Inc	Q16175734	>>	Celltrion	>>	/g/1n36ghkjh	>>	100
Central Japan Railway Co	Q682174	>>	Nippon_Sharyo	>>	/m/0275tcp	>>	100
Charles Schwab Corp	Q1066028	>>	Charles_Schwab_Corporation	>>	/m/04c_rb	>>	100
Charter Communications Inc	Q2961234	>>	Charter_Communications	>>	/m/05c51w	>>	54,86171581
Charter Communications Inc	Q1885099	>>	Time_Warner_Cable	>>	/m/08gyry	>>	31,77046398
Charter Communications Inc	Q3278402	>>	NY1	>>	/m/054l28	>>	8,386914307
Charter Communications Inc	Q7805197	>>	Charter_Spectrum	>>	/m/089jrf	>>	4,9809059
Chevron Corp	Q319642	>>	Chevron_Corporation	>>	/m/01pvx3	>>	69,19059081
Chevron Corp	Q775060	>>	Texaco	>>	/m/0g499	>>	24,7618545
Chevron Corp	Q1046465	>>	Tengizchevroil	>>	/m/04c0wq	>>	6,047554693
China Cinda Asset Management Co Ltd	Q3335816	>>	Nanyang_Commercial_Bank	>>	/m/0501qh	>>	62,90613718
China Cinda Asset Management Co Ltd	Q15933437	>>	China_Cinda_Asset_Management	>>	/g/1ym_l4vs4	>>	37,09386282
China Evergrande Group	Q5417145	>>	Evergrande_Group	>>	/m/03wczdp	>>	100
China Life Insurance Co Ltd	Q1073306	>>	China_Life_Insurance_Company	>>	/m/083tls	>>	100
China Merchants Bank Co Ltd	Q1073327	>>	China_Merchants_Bank	>>	/m/02vy2cl	>>	100
China Minsheng Banking Corp Ltd	Q911543	>>	China_Minsheng_Bank	>>	/m/026xw8f	>>	100
China Mobile Ltd	Q741618	>>	China_Mobile	>>	/m/020zhv	>>	79,87745047
China Mobile Ltd	Q5099786	>>	CMHK	>>	/m/05222v9	>>	12,3720478
China Mobile Ltd	Q6760070	>>	Zong_4G	>>	/m/04gg9gs	>>	7,75050173
China Overseas Land & Investment Ltd	Q1073463	>>	China_Overseas_Land_and_Investment	>>	/m/03gs40w	>>	100
China Pacific Insurance Group Co Ltd	Q1003813	>>	China_Pacific_Insurance_Company	>>	/m/03wcf7h	>>	100
China Petroleum & Chemical Corp	Q831445	>>	Sinopec	>>	/m/04sy2w	>>	100
China Shenhua Energy Co Ltd	Q15704413	>>	Shenhua_Group	>>	/m/02q2kr4	>>	100
China State Construction Engineering Corp Ltd	Q1073519	>>	China_State_Construction_Engineering	>>	/m/047ctvf	>>	100
China Unicom Hong Kong Ltd	Q1068485	>>	China_Unicom	>>	/m/02b5s1	>>	100
China Vanke Co Ltd	Q861340	>>	Vanke	>>	/m/03y8s1_	>>	100
Christian Dior SE	Q504998	>>	LVMH	>>	/m/03p3mc_	>>	29,08977086
Christian Dior SE	Q191485	>>	Louis_Vuitton	>>	/m/03h90x	>>	18,83671506
Christian Dior SE	Q1229287	>>	Hennessy	>>	/m/03hz33	>>	6,640140189
Christian Dior SE	Q926575	>>	Fendi	>>	/m/02nlkd	>>	5,82848719
Christian Dior SE	Q542767	>>	Dior	>>	/m/04s4g6	>>	5,01019088
Christian Dior SE	Q2408041	>>	Sephora	>>	/m/05nn45	>>	4,598051172
Christian Dior SE	Q645984	>>	TAG_Heuer	>>	/m/03nv_y	>>	4,444656719
Christian Dior SE	Q759210	>>	Givenchy	>>	/m/061bw_	>>	4,123508358
Christian Dior SE	Q752515	>>	Bulgari	>>	/m/06bm7y	>>	3,490702082
Christian Dior SE	Q895795	>>	Kenzo_(brand)	>>	/m/0x20kx_	>>	2,628570926
Christian Dior SE	Q610350	>>	Veuve_Clicquot	>>	/m/09dp6h	>>	2,615036728
Christian Dior SE	Q1686544	>>	Loro_Piana	>>	/m/0b5xk2	>>	2,066894836
Christian Dior SE	Q691958	>>	Hublot	>>	/m/03m5m0c	>>	1,878805247
Christian Dior SE	Q1553251	>>	Guerlain	>>	/m/06rmcb	>>	1,508395982
Christian Dior SE	Q938773	>>	DKNY	>>	/m/0280wr	>>	1,416778816
Christian Dior SE	Q966905	>>	Loewe_(fashion_brand)	>>	/m/02rf9lb	>>	1,286759738
Christian Dior SE	Q1287437	>>	Rimowa	>>	/m/0ndsm1y	>>	1,099268459
Christian Dior SE	Q189601	>>	Zenith_(watchmaker)	>>	/m/0561dg	>>	0,865452811
Christian Dior SE	Q2895769	>>	Benefit_Cosmetics	>>	/m/0cmwj9	>>	0,634161072
Christian Dior SE	Q1330945	>>	Champagne_Krug	>>	/m/0byfpr	>>	0,622394297
Christian Dior SE	Q1806967	>>	Ruinart_(Champagne)	>>	/m/027fswc	>>	0,487155475
Christian Dior SE	Q3365053	>>	Parfums_Christian_Dior	>>	/m/026fwsj	>>	0,319346551
Christian Dior SE	Q2961620	>>	Chaumet	>>	/m/03qldx3	>>	0,261337934
Christian Dior SE	Q1137991	>>	Thomas_Pink	>>	/m/055_t5	>>	0,187979555
Christian Dior SE	Q19871679	>>	Bulgari_Hotel_and_Residences	>>	/m/0134glkn	>>	0,059439061
Chubb Ltd	Q5150863	>>	Combined_Insurance	>>	/m/0hhw47q	>>	100
Chugai Pharmaceutical Co Ltd	Q750619	>>	Chugai_Pharmaceutical_Co.	>>	/m/03qk8lb	>>	100
Chunghwa Telecom Co Ltd	Q717531	>>	Chunghwa_Telecom	>>	/m/03p1t0b	>>	87,92779907
Chunghwa Telecom Co Ltd	Q15935902	>>	Senao_International	>>	/m/0cp8hxy	>>	12,07220093
Cigna Corp	Q768231	>>	Express_Scripts	>>	/m/096g9q	>>	46,53653555
Cigna Corp	Q642271	>>	Cigna	>>	/m/02twsr	>>	45,99727832
Cigna Corp	Q1364494	>>	Medco_Health_Solutions	>>	/m/05xcz_	>>	6,170311176
Cigna Corp	Q14512832	>>	Vanbreda_International	>>	/g/1z3t2rffd	>>	1,295874963
Cisco Systems Inc	Q173395	>>	Cisco_Systems	>>	/m/0dmtp	>>	74,14989721
Cisco Systems Inc	Q1121892	>>	OpenDNS	>>	/m/0fd3q0	>>	13,36193946
Cisco Systems Inc	Q2745629	>>	Cisco_Meraki	>>	/m/02kx2bg	>>	6,047020986
Cisco Systems Inc	Q4780783	>>	AppDynamics	>>	/m/0h55dn3	>>	3,629368779
Cisco Systems Inc	Q4387259	>>	Scientific_Atlanta	>>	/m/05zz58	>>	0,978484337
Cisco Systems Inc	Q18153660	>>	Cisco_Jasper	>>	/m/02h5bfv	>>	0,950312455
Cisco Systems Inc	Q16985404	>>	BroadSoft	>>	/m/0cqn01l	>>	0,732224642
Cisco Systems Inc	Q7621739	>>	StrataCom	>>	/m/09n2vdn	>>	0,150752132
Citigroup Inc	Q857063	>>	Citibank	>>	/m/01hlzm	>>	46,44798666
Citigroup Inc	Q219508	>>	Citigroup	>>	/m/01dfb6	>>	44,58477117
